precio,banos,dormitorios,superficie_total,superficie_construida,estacionamiento,latitud,longitud
571207186,4.0,6.0,330.0,150.0,1.0,-33.399802,-70.5501286
124089837,2.0,2.0,58.0,0.0,1.0,-33.4258628,-70.6466344
368330151,2.0,3.0,210.0,127.0,1.0,-33.4434963,-70.5572845
386057271,4.0,7.0,406.0,226.0,1.0,-33.4524716,-70.5842174
614540145,2.0,5.0,360.0,236.0,1.0,-33.3815485,-70.5552589
783932621,4.0,5.0,640.0,405.0,1.0,-33.4588475,-70.5229412
500298708,3.0,4.0,1200.0,1060.0,1.0,-33.5599929,-70.7670674
3344516560,6.0,5.0,1600.0,750.0,1.0,-33.33931,-70.5312135
200907355,2.0,5.0,338.0,169.0,1.0,-33.5147317,-70.6701536
2674825376,7.0,8.0,1450.0,860.0,1.0,-33.3524831,-70.5334238
736660302,4.0,6.0,398.0,206.0,1.0,-33.439702,-70.5212175
783932621,5.0,5.0,901.0,642.0,1.0,-33.253049,-70.621244
898174058,4.0,4.0,392.0,172.0,1.0,-33.3859307,-70.5789958
400000000,3.0,4.0,180.0,42.0,1.0,-33.4383146,-70.5556138
196061942,2.0,4.0,180.0,-70.0,1.0,-33.5436823,-70.7725802
110302077,1.0,2.0,122.0,0.0,1.0,-33.5564776,-70.5993444
728781583,2.0,4.0,262.0,100.0,1.0,-33.3913369,-70.5873847
1299988769,4.0,5.0,1117.0,697.0,1.0,-33.336747,-70.5580881
196967995,2.0,3.0,228.0,128.0,1.0,-33.3624464,-70.7270696
122000000,2.0,3.0,92.0,22.0,1.0,-33.4601497,-70.7359781
150000000,4.0,13.0,202.0,0.0,0.0,-33.4585797,-70.6549951
496359348,1.0,3.0,265.0,183.0,1.0,-33.381111,-70.5543416
185149916,2.0,3.0,274.0,179.0,1.0,-33.5331074,-70.6420543
94544638,4.0,8.0,210.0,0.0,0.0,-33.3926839,-70.6710721
617691633,4.0,4.0,320.0,190.0,1.0,-33.4053987,-70.538763
346663672,1.0,3.0,242.0,141.0,1.0,-33.4261882,-70.5408305
168000000,2.0,3.0,135.0,56.0,1.0,-33.6779583,-71.1799031
155000000,1.0,4.0,1.0,0.0,1.0,-33.395281,-70.6373403
137877597,1.0,3.0,59.0,-78.0,1.0,-33.4940409,-70.7522489
275361257,2.0,5.0,300.0,100.0,1.0,-33.4901165,-70.6569221
242506996,3.0,3.0,319.0,165.0,1.0,-33.5455963,-70.5739417
130000000,1.0,3.0,171.0,98.0,1.0,-33.4843718,-70.6309295
523934867,5.0,4.0,470.0,241.0,1.0,-33.3229261,-70.6470944
740599662,4.0,4.0,900.0,690.0,1.0,-33.2570959,-70.6239799
807174845,4.0,6.0,412.0,190.0,1.0,-33.4336164,-70.5889776
