codigo_comuna,nombre_comuna,n_registros,pct_casa,pct_departamento,pct_casa_depto,pct_vivienda_precaria,pct_paredes_solidas,pct_techo_solido,pct_piso_bueno,pct_agua_red_publica,pct_wc_bueno,pct_cocina_moderna,pct_propia_total,pct_arrendada,ingreso_promedio,ingreso_mediana,indice_calidad_materiales,indice_servicios_basicos,indice_calidad_vivienda_general
13501,Melipilla,580,51.72,30.86,82.59,12.59,55.0,95.69,93.1,76.21,20.86,92.24,53.45,0.52,497911.08,380000.0,81.26,63.1,75.65
13502,Alhué,171,97.66,2.34,100.0,0.0,25.73,100.0,81.87,85.96,7.02,98.83,66.08,0.0,493809.26,330861.0,69.2,63.94,77.71
13503,Curacaví,289,62.63,27.34,89.97,0.0,53.29,92.04,88.58,69.55,7.96,93.77,73.36,0.35,460292.31,380000.0,77.97,57.09,75.01
13504,María Pinto,197,89.34,10.66,100.0,0.0,33.5,87.31,75.13,63.96,6.6,84.26,64.47,0.0,426579.37,326627.0,65.31,51.61,72.31
13505,San Pedro,103,95.15,4.85,100.0,0.0,19.42,98.06,79.61,83.5,3.88,98.06,59.22,0.0,575548.85,209778.0,65.7,61.81,75.84
13601,Talagante,413,38.98,47.94,86.92,10.9,71.67,97.58,89.1,81.36,24.21,96.61,64.16,2.91,505981.72,400000.0,86.12,67.39,80.15
13602,El Monte,240,75.42,15.0,90.42,4.58,41.25,96.67,87.92,75.83,18.33,90.42,77.5,0.83,348603.37,325000.0,75.28,61.53,75.74
13603,Isla de Maipo,290,69.31,26.21,95.52,0.0,40.34,91.72,81.03,75.17,13.79,95.86,52.07,0.0,510215.48,400000.0,71.03,61.61,76.05
13604,Padre Hurtado,447,64.21,31.54,95.75,0.45,58.17,97.09,96.64,81.21,27.07,93.06,75.39,1.79,558543.98,400000.0,83.97,67.11,82.28
13605,Peñaflor,533,59.47,25.89,85.37,10.88,66.79,94.75,90.99,72.05,25.7,89.12,65.85,0.19,591753.35,400000.0,84.18,62.29,77.28
