precio,banos,dormitorios,superficie_total,superficie_construida,estacionamiento,latitud,longitud,comuna
237000000.0,3.0,4.0,380.0,260.0,1.0,-33.5643485,-70.8048624,Padre Hurtado
449087029.0,4.0,5.0,187.0,20.0,1.0,-33.3519311,-70.5109587,Lo Barnechea
590903986.0,4.0,4.0,670.0,470.0,1.0,-33.3194215,-70.6459958,Colina
1023839639.0,5.0,5.0,500.0,275.0,1.0,-33.38945,-70.51286,Las Condes
140635149.0,2.0,3.0,130.0,-725.0,1.0,-33.7263306,-70.715526,Buin
256058394.0,2.0,5.0,297.0,77.0,1.0,-33.3908386,-70.6368026,Recoleta
372269511.0,3.0,4.0,307.0,197.0,1.0,-33.4846761,-70.5506975,Peñalolén
86665918.0,1.0,3.0,100.0,40.0,1.0,-33.4799685,-70.7244089,Maipú
386057271.0,4.0,4.0,360.0,220.0,1.0,-33.3167856,-70.6531987,Colina
175301516.0,2.0,3.0,120.0,0.0,1.0,-33.5426378,-70.5726845,La Florida
128029197.0,1.0,3.0,2304.0,-6924.0,1.0,-33.4870995,-70.6680199,Pedro Aguirre Cerda
500000000.0,2.0,3.0,514.0,418.0,1.0,-33.4239299,-70.5669385,Las Condes
232422234.0,3.0,4.0,300.0,140.0,1.0,-33.2151179,-70.664212,Colina
210000000.0,2.0,4.0,162.0,-14609.0,1.0,-33.4515807,-70.768186,Pudahuel
571207186.0,4.0,6.0,330.0,150.0,1.0,-33.399802,-70.5501286,Las Condes
124089837.0,2.0,2.0,58.0,0.0,1.0,-33.4258628,-70.6466344,Recoleta
368330151.0,2.0,3.0,210.0,127.0,1.0,-33.4434963,-70.5572845,La Reina
386057271.0,4.0,7.0,406.0,226.0,1.0,-33.4524716,-70.5842174,Ñuñoa
614540145.0,2.0,5.0,360.0,236.0,1.0,-33.3815485,-70.5552589,Vitacura
783932621.0,4.0,5.0,640.0,405.0,1.0,-33.4588475,-70.5229412,La Reina
500298708.0,3.0,4.0,1200.0,1060.0,1.0,-33.5599929,-70.7670674,Maipú
3344516560.0,6.0,5.0,1600.0,750.0,1.0,-33.33931,-70.5312135,Lo Barnechea
200907355.0,2.0,5.0,338.0,169.0,1.0,-33.5147317,-70.6701536,La Cisterna
2674825376.0,7.0,8.0,1450.0,860.0,1.0,-33.3524831,-70.5334238,Lo Barnechea
736660302.0,4.0,6.0,398.0,206.0,1.0,-33.439702,-70.5212175,La Reina
783932621.0,5.0,5.0,901.0,642.0,1.0,-33.253049,-70.621244,Colina
