url,precio_uf,banos,dormitorios,superficie_total,superficie_construida,superficie_util,estacionamiento,latitud,longitud,informacion_adicional
https://www.toctoc.com/propiedades/compraparticularsr/casa/macul/casas-los-antropologos-4903/3748344,5605,2,5,165.85,144.34,21.51,Si,-33.498794,-70.604884,"Informacion adicional ¡GRAN OPORTUNIDAD! CASA EN VENTA EN MACUL Ubicacion: Pasaje Los Antropologos N° 4903, Macul, Santiago Superficie construida: 144,34 m² Terreno: 165,85 m² Dormitorios: 5 Banos: 2 Estacionamientos: 2 PRECIO DE VENTA: $220.000.000 CLP ... Leer mas"
https://www.toctoc.com/propiedades/compraparticularsr/casa/maipu/casas-fundo-cerrillos-115/3542946,5605,4,5,145.75,145.75,0.00,Si,-33.464914,-70.76146,"Informacion adicional Se Vende casa, condominio cerrado en la comuna de Maipu, excelente ubicacion, cercanos al Mall Arauco Maipu, Clinica Indisa, institutos, colegios, salas cunas, supermercados etc. La casa es espaciosa y cuenta con estacionamiento, 5 dormitorios, 4 banos, living, comedor, cocina, area de lavado, pequena bodega, ante jardin, patio, terraza pequena, areas comunes amplias, idealmente para familias grandes. VENDE SU DUENO"
https://www.toctoc.com/propiedades/compraparticularsr/casa/nunoa/casas-exequiel-fernandez-1250/3808849,6150,2,3,200.00,101,99.00,No,-33.466045,-70.599844,"Informacion adicional Casa recien remodelada, muy buena ubicacion a una cuadra de Portal Nunoa y Futura estacion de Metro, a 4 cuadras de Metro Estadio Nacional, condominio cerrado tranquilo de 20 casas"
https://www.toctoc.com/propiedades/compraparticularsr/casa/nunoa/casas-castillo-urizar-2006/3486110,6100,2,3,203.00,107,96.00,Si,-33.47353,-70.609978,"Informacion adicional Linda casa en barrio residencial de nunoa, cuenta con 3 amplias habitaciones, todas con closet empotrado, 2 banos,uno de ellos con closet empotrados, cocina con mesones de granito, despensa empotrada en cocina , 1 bodega en patio interior, living separados de comedor, 1 estacionamiento, exenta de contribuciones, gran conectividad a av principales , colegios, supermercados, sin comision, venta directa con duena , , vistas con credito hipotecario pre aprobado, Morelia, fono +569- 82204392"
https://www.toctoc.com/propiedades/compraparticularsr/casa/la-granja/casas-colonel-7783/3795554,4470,1,2,500,130,370.00,No,-33.526339,-70.617238,Informacion adicional Propiedad cercana a metro y centros comerciales. Buenas calles de acceso. Amplio estacionamiento.
https://www.toctoc.com/propiedades/compraparticularsr/casa/huechuraba/casas-avenida-el-guanaco-norte-1752/3197040,6250,3,4,200,150,50.00,No,-33.352128,-70.6819,"Informacion adicional Casa aislada en interior de condominio, accesos controlados 24/7, con terraza, bodega, logia, 3 estacionamientos, antejardin y patio, ampliada para familia grande, con 4 dormitorios mas sala de estar, biblioteca, living y comedor separados, amplia cocina. Vende el propietario, sin comision. NO VENDO CON CORREDORES. Disponible un mes de efectuada la venta. Distribucion: Primer piso: Living con aire acondicionado y comedor separados, bano de visitas, bibilioteca/sala de estar/5to dormitorio, cocina amoblada y equipada con comedor de diario. Segundo piso: Tres dormitorios, Matrimonial grande, con aire acondicionado, walking closet, bano en suite. Dos dormitorios para dos camas de 1 plaza cada uno mas velador. ... Leer mas"
https://www.toctoc.com/propiedades/compraparticularsr/casa/padre-hurtado/propiedad-ubicada-en-exclusivo-sector-de-la-laguna-del-sol-padre-hurtado/3659651,7980,4,4,345,140,205.00,Si,-33.56551337,-70.83007094,"Informacion adicional Propiedad ubicada en exclusivo sector de la Laguna del Sol, Padre hurtado, con ACCESO EXCLUSIVO Y DIRECTO A SOLO METROS DE LA LAGUNA DEL SOL, que te invitara a vivir en un ambiente agradable, tranquilo y comodo para disfrutar con la familia y amigos. Rodeado de espacios verdes, con zonas de juegos para los ninos, todo lo anterior reforzado con vigilancia 24/7 y conserjeria. Esta propiedad de 345 m2 totales y 140 m2 utiles. Cuenta con las ventajas que tiene una propiedad esquina y aislada. Con una hermosa Terraza techada con detalles en maderas nobles, rodeada de jardin. Con 4 dormitorios amplios y luminosos, dormitorio principal en suite, 4 banos que estan ubicados estrategicamente para una mayor comodidad. Holl de acceso, living amplio y luminoso con ventanales con vista a hermoso jardin, comedor amplio y luminoso con acceso directo a la cocina y a la terraza. Ventanas y ventanales de termo panel, cocina amplia y totalmente equipada con muebles que tienen mesones de granito, Logia techada con maderas nobles. ... Leer mas"
https://www.toctoc.com/propiedades/compraparticularsr/casa/nunoa/casas-los-cerezos-98/3771718,9600,2,4,325.00,194,131.00,No,-33.456135,-70.584301,"Informacion adicional Hermosa casa, en pasaje cerrado. barrio recidencial. Cuatro dormitorios, 2 banos, cocina con muebles. Remodelada, ventanas con termo panel y protecciones, piso parquet y porcelanato Gran patio con quincho"
https://www.toctoc.com/propiedades/compraparticularsr/casa/santiago/casas-abdon-cifuentes-235/3504731,8918,3,7,318.00,198,120.00,No,-33.451248,-70.665535,"Informacion adicional Hermosa Propiedad con actual uso habitacional y que cuenta con un gran potencial comercial al contar con una ubicacion privilegiada (En una esquina y frente a la Plaza Manuel Rodriguez). Propiedad que posee fachada de arquitectura con estilo del Movimiento Moderno. Cuenta con dos pisos y un subterraneo especificamente un hall de acceso, siete dormitorios, tres banos, cocina, logia, terraza y una bodega (en subterraneo). SE ACEPTAN OFERTAS"
https://www.toctoc.com/propiedades/compraparticularsr/casa/nunoa/casas-av-antonio-varas-2693/3783971,9810,2,4,365,116,249.00,No,-33.452136,-70.609547,"Informacion adicional Casa esquina con destino comercial, emplazada en una inmejorable ubicacion en barrio tradicional en av. Antonio Varas, comuna de Nunoa. Consta de una superficie de 365 mt2 de terreno y 116mt2 construidos, posee 4 privados, 2 banos y acceso vehicular por Leopoldo Urrutia. A pasos de metro linea N-3 y eje Av. Irarrazaval, con multiples servicios cercanos. Emplazada en una zona de uso mixto, apta para comercio, oficinas y servicios profesionales, con un alto nivel de desarrollo comercial. Contactanos para coordinar una visita y conocer el inmueble con un alto potencial para ejercer una actividad comercial o bien remodelar para vivienda en un gran barrio."
https://www.toctoc.com/propiedades/compraparticularsr/casa/macul/casas-enrique-barrenechea-3792/3330687,11950,3,6,525,203,322.00,Si,-33.489136,-70.596832,"Informacion adicional Se vende propiedad en Macul con 2 casas con gran terreno de 525m2 (15x35) en tranquila calle a dos cuadras de Avenida Macul, buena conectividad y locomocion colectiva. Caracteristicas: Casa 1: Con 97,55 m2 construidos, hall de acceso. living-comedor, 3 dormitorios con closet 1 bano completo, pieza y bano de servicios cocina amoblada con lavadero y loggia, jardin formado. Casa 2: Con 105, 16 m2construidos, living-comedor, 3 dormitorios con closet 1 bano completo, cocina con muebles, 2 bodegas,1 lavadero, agradable patio con arboles frutales. Estacionamientos para 2 vehiculos."
https://www.toctoc.com/propiedades/compraparticularsr/casa/colina/casas-celestina-10511/3723112,16000,4,5,720,230,490.00,Si,-33.322683,-70.675233,"Informacion adicional ¡Te presentamos una increible oportunidad para vivir en uno de los condominios mas exclusivos de Chicureo! Esta casa mediterranea, de 720m² de terreno, esta ubicada en un entorno privilegiado, con hermosas plazas, canchas de futbol y tenis, y senderos hacia el cerro. A solo minutos de colegios y supermercados, con seguridad 24/7 y acceso controlado, garantizando tranquilidad y comodidad para ti y tu familia. • • Caracteristicas de la propiedad:• • Primer piso: - Amplia y luminosa cocina con comedor de diario, espacio para refrigerador grande y acceso directo a la logia, que cuenta con amplios closets con repisas en su interior. ... Leer mas"
