Titulo;Precio;Banos;Fecha;Piezas;Superficie Construida;Superficie Total;Estacionamiento;Lugar;Latitud;Longitud;Corredora
Huechuraba Avenida Pedro Fontova Norte 6450;371212500;4;22-06-2025;3;151;191;;Huechuraba;-333.544.798;-7.067.050.640.000.000;Diaz Propiedades
Puente Alto Oportunidad Real Lista para vivir La Lucarna 3238;119764875;1;22-06-2025;3;65;111;1;Puente Alto;-335.795.453;-705.757.217;Punto Exacto Corredora de Propiedades Ltda.
La Reina Helsby 9474;722887500;4;21-06-2025;5;137;409;2;La Reina;-334.352.855;-705.309.673;Rock Properties
Maipu Pedro Sarmiento;179745000;2;21-06-2025;3;112;122;1;Maipu;-334.707.652;-707.412.481;
San Bernardo Multicancha Villa Angelmo;67000000;1;21-06-2025;2;57;60;;San Bernardo;-335.964.223;-706.845.385;
Puente Alto Calle Cardenal Fresno;150000000;3;21-06-2025;3;92;172;4;Puente Alto;-335.930.194;-705.451.199;Mauro Propiedades
Buin Barrio Residencial Cumbres de Buin;143796000;2;20-06-2025;3;90;175;1;Buin;-337.350.339;-7.072.230.499.999.990;Ambiento Propiedades
Buin Comerciante Armando Perez Carrasco;125040000;2;20-06-2025;3;75;150;1;Buin;-337.309.825;-707.238.986;Ambiento Propiedades
Conchali 5 de Febrero;102000000;1;19-06-2025;5;67;189;4;Conchali;-333.821.165;-7.068.707.359.999.990;
Puente Alto Los Alfareros;60000000;1;18-06-2025;3;61;62;1;Puente Alto;-336.235.583;-705.931.197;Codalu Propiedades
Quilicura Presidente Ramon Barros Luco;110000000;2;18-06-2025;3;68;89;1;Quilicura;-333.615.378;-707.400.601;Codalu Propiedades
San Joaquin Rio Pilmaiquen;75000000;1;18-06-2025;3;84;126;;San Joaquin;-334.931.599;-7.062.656.539.999.990;Codalu Propiedades
La Florida Santa Clara;145000000;2;18-06-2025;3;68;110;1;La Florida;-335.468.841;-706.000.601;Cadepar Propiedades SpA
