"id","url","precio","superficie_total","superficie_util","dormitorios","baños","estacionamientos","latitud","longitud","descripcion"
"11","https://casa.mercadolibre.cl/MLC-2902268036-espectacular-casa-en-venta-4-dormitorios-y-3-banos-_JM#polycard_client=search-nordic&position=13&search_layout=grid&type=item&tracking_id=86e048f4-8629-40d6-b718-8c6a017dfd4a","342724312","509","143","4","3","2","-33.51788","-70.52611","Amplia y cómoda casa en venta, del año 2014, de dos pisos, independiente. Posee 143 m2 construidos y 509 m2 de terreno aproximadamente, con amplios espacios, luminosa, con orientación oriente en patio. |  | La propiedad se ubica en seguro sector residencial de la comuna de La Florida, en condominio cerrado con seguridad 24/7. Cercana a colegios, jardines infantiles, supermercados, y a pocos minutos de centros comerciales. Propiedad goza de un entorno privilegiado, rodeado de parques y áreas verdes, y a pocos minutos de senderos cordilleranos, para disfrutar del aire libre, trekking y descenso en bicicleta."
"12","https://casa.mercadolibre.cl/MLC-2917367350-casa-en-parque-los-castanos-con-piscina-y-quincho-_JM#polycard_client=search-nordic&position=14&search_layout=grid&type=item&tracking_id=86e048f4-8629-40d6-b718-8c6a017dfd4a","902113418","352","200","5","5","2","-33.3591645","-70.535758","CARACTERÍSTICAS PRINCIPALES: | 5 dormitorios (incluye dormitorio de servicio) + posibilidad de 6 dormitorio | 5 baños (incluye baño de servicio y de visita) | Cocina ampliada y completamente remodelada | Living y comedor separados con excelente luz natural | Ventanas con termopanel en toda la casa | Lavadero y bodega independiente | Segundo piso con aire acondicionado |  | Primer piso: Hall de entrada con closet de visita. Baño de visita. Living y comedor separados con salida a terraza. Dormitorio principal en suite con walk in closet. Cocina con comedor de diario. Dormitorio y baño de servicio. |  | Segundo piso: Gran sala de estar. 3 Dormitorios con closet. 2 Baños completos. Lugar para un cuarto dormitorio |  | EXTERIOR: | Piscina con paneles solares para calefacción | Quincho techado y terraza | Jardín con riego automático | 2 estacionamientos |  | ENTORNO Y COMUNIDAD | Casa no perimetral, ubicada en pasaje cerrado de solo 20 casas | Plaza con juegos infantiles a pasos | Cercano a colegios (Newland, Everest, Huinganal, Monte Tabor), Clínica MEDS y Mall Vivo Los Trapenses |  | VENTA DIRECTA POR DUEÑOS. Sin comisión de corredor"
"13","https://casa.mercadolibre.cl/MLC-1618175469-casa-en-condominio-seguridad-24-horas-_JM#polycard_client=search-nordic&position=15&search_layout=grid&type=item&tracking_id=86e048f4-8629-40d6-b718-8c6a017dfd4a","433329590","518","215","6","4","4","-33.3412698","-70.6645928","VENDE SU DUEÑO |  | Impecable casa tipo Chilena dentro se condominio!!!!! con doble acceso de seguridad 24/7, parque central, cercano a jardín infantil, Stripcenter Mag, colegios, restaurantes. |  | Primer piso: Hall de acceso, puerta vidriada para separar ambiente, living comedor separado con piso flotante, cocina equipada y con cubierta de granito, 1 dormitorio en suite con Walking closet , más ampliación techada y cerrada para escritorio o mas closet, 1 baño de visitas , 1 escritorio o dormitorio, 1 amplio dormitorio de servicio con closet y baño. |  | Segundo piso: Sala de estar , 3 amplios dormitorios con piso flotante, 1 baño. |  | Exterior: Terraza techada, con cierre de lonas, jardín formado, amplia logia techada y cerrada, 1 bodega, riego automático, estacionamiento para 3 a 4 autos."
"14","https://casa.mercadolibre.cl/MLC-2932000020-cond-los-bosques-p-roja-chicureo-frente-laguna-y-mall-_JM#polycard_client=search-nordic&position=16&search_layout=grid&type=item&tracking_id=86e048f4-8629-40d6-b718-8c6a017dfd4a","870598539","997","325","5","5","5","-33.2773261","-70.6217738","Casa mediterránea en exclusivo condominio frente al Mall Vivo y Laguna Piedra Roja. Cuenta con portería y accesos controlados, seguridad las 24 Hrs, cancha futbol, muticancha, con extensas áreas verdes, varios sectores de juegos infantiles y senderos. La comunidad es principalmente familiar, se celebran fiestas patrias, navidad, con grandes eventos exclusivos para propietarios. También te da acceso a la Laguna de Piedra Roja, club naútico, centro ecuestre, entre otros. Acceso directo a Camino Juan Pablo II, Radial Nororiente. Cercano a comercio, Clínica Alemana, Clínica Las Condes, servicios y colegios San José, San Anselmo, Verbo Divino, Dunalastair, Lincoln, entre otros. |  | Tratar Directo Dueño. |  | Casa mediterranea de 3 niveles (centro del condominio): 325 M2 construidos, Sitio 997 M. | Total 5D/4B + Dorm Servicio c/baño + Gran Sala Estar + Escritorio + Estacionamiento 5 autos |  | Espacio terreno aún disponible de 12x10 mtrs para froton o nueva construcción (1/2 cancha tenis aprox). |  | PRIMER PISO | -Hall de acceso | -Living doble altura y comedor independientes | -Cocina con comedor de diario | -Sala de estar (o dormitorio) | -Pieza Servicio con baño, Lavadero y Loggia |  | SUBTERRANEO | - Dormitorio Invitados y baño | - Gran sala estar con zona de bar |  | SEGUNDO PISO (2 niveles) | -Dos dormitorios, baño y pequeño sector escritorio (nivel niños) | -Dormitorio principal en suite, walk in closet y baño (nivel adultos) | -Escritorio |  | EXTERIOR | -5 estacionamientos interiores ( uno para 2 y otro para 3 autos) | -Quincho techado con barra, mesón y lava copas | -Dos terrazas techadas, jardín con riego automático | -Piscina |  | EQUIPAMIENTO | -Pisos: living y comedor piso flotante, baños y cocina cerámica y porcelanato | -Cocina equipada con encimera, campana, horno y comedor de diario | -Calefacción central por radiadores | -Ablandador de agua. | -Ventanas termopanel |  | Gastos comunes $160.000 aproximadamente"
"15","https://casa.mercadolibre.cl/MLC-2900172502-parcela-media-hectarea-en-condominio-_JM#polycard_client=search-nordic&position=17&search_layout=grid&type=item&tracking_id=86e048f4-8629-40d6-b718-8c6a017dfd4a","464844469","5050","180","4","3","8","-33.3043728","-70.7028619","*No llamar corredoras* |  | Estupenda Casa Chilena. 5.000 mts. Condominio Alta Seguridad, sólo 32 parcelas |  | Distribución | -Amplio Hall de Acceso | -Living Comedor con salida a terraza | -Cocina con comedor de diario | -Lavadero | -Gran dormitorio de servicio en suite o 4to dormitorio | -2 dormitorios | -Baño completo | -Dormitorio principal en suite con walk inn clóset y salida a terraza |  | Exterior: | Jardín formado y consolidado de 5.000 mts con frutales, parrón y huerta - Piscina - Bodega - Terrazas - Estacionamientos - Riego con agua de pozo"
"16","https://casa.mercadolibre.cl/MLC-1628388625-casa-en-esquina-con-gran-potencial-comercial-maipu-_JM#polycard_client=search-nordic&position=18&search_layout=grid&type=item&tracking_id=86e048f4-8629-40d6-b718-8c6a017dfd4a","121253498","102","81","3","2","3","-33.54068","-70.772068","¡Oportunidad! Casa en esquina con gran potencial comercial – Villa El Abrazo, Maipú |  | Se vende sólida propiedad ubicada en estratégica esquina de Villa San Juan, comuna de Maipú, ideal tanto para uso habitacional como para desarrollo comercial. |  | Características principales: |  | Superficie total terreno: 102 m² |  | Superficie construida: 81 m² |  | 3 dormitorios amplios |  | 2 baños |  | Living-comedor de buen tamaño |  | Gran Cocina |  | Cochera techada |  | Cobertizo lateral que amplía el espacio exterior |  | Construcción del año 2000, con primer piso en albañilería sólida y segundo piso en metalcom y madera, lo que garantiza buena estructura y aislamiento. |  | Ubicación privilegiada, a pasos de Camino a Melipilla, con excelente conectividad a principales vías y en un sector residencial tranquilo con creciente desarrollo comercial. |  | Su ubicación en esquina y la alta visibilidad que ofrece la convierten en una excelente alternativa para instalar un local, negocio o invertir con proyección comercial. |  | Valor de venta: 3.078UF *Se aceptan ofertas* |  | Contáctanos para coordinar una visita y descubrir todo su potencial."
"17","https://casa.mercadolibre.cl/MLC-1617087035-amplia-luminosa-y-acogedora-casa-_JM#polycard_client=search-nordic&position=19&search_layout=grid&type=item&tracking_id=86e048f4-8629-40d6-b718-8c6a017dfd4a","1138475013","902","267","4","4","4","-33.3398845","-70.5031183","3d+ 3b/d+b servicio /sala de estar /piscina /quincho /4 estac (2 techados) | 267/902m2 |  | Oportunidad única, espectacular casa en condominio de 7 casas diseñada por los arquitectos Fernando Garcia Huidobro y Diego Torres Torriti, construida en el 2011. | Maravillosa vista totalmente despejada hacia el valle y los cerros. |  | La casa se emplaza en la ladera norte de un cerro en el sector del huinganal, tiene estacionamientos para 4 autos , dos techados. | El hall de acceso distribuye a la zona privada de la casa que consta de dos amplios dormitorios con grandes closets, ambas piezas comparten un baño al cual se accede desde los dormitorios, luego el dormitorio principal en suite con walking closet. Los dormitorios tienen acceso a una gran terraza con hermosa vista. |  | La escalera baja a la zona pública de la casa donde se encuentra living comedor en desnivel, amplia cocina, lavandería, loggia y comedor de diario el cual se puede unir al comedor por una puerta plegable de vidrio y madera. |  | Al lado de la cocina se encuentra baño de servicio y un recinto de altura y media que actualmente es taller de carpintería y costura pero podría habilitarse como un departamento aparte con entrada independiente. |  | Al costado del comedor también se accede a baño completo de visita y escritorio que a través de una puerta de madera corredera puede transformarse en dormitorio de invitados. |  | La orientación de la casa es norponiente, por lo que es muy luminosa. | Tiene una gran terraza con quincho y piscina. Un hermoso jardín y árboles frutales, paltos , duraznos, naranjas , limones, mandarinas, aceitunas y peras. |  | Toda la zona privada de dormitorios y acceso tiene piso de ingeniería de madera y en la zona pública el piso es de travertino pulido. |  | Toda la casa tiene ventanas de termopanel y calefacción central por losa radiante. Todos los muros poseen aislación. Tiene sistema de riego automático, portón eléctrico y alarma. |  | La Casa está en perfectas condiciones de habitabilidad. |  | Primer piso |  | Living / Comedor / Sala de estar / Baño de visita / | Cocina / Lavanderia / Loggia | Baño de servicio / Taller de carpintería y costura | Terraza /Piscina /Quincho |  | Segundo piso |  | Hall de acceso /Dormitorio 1 /Baño 1 | Dormitorio 2 | Dormitorio principal / Baño 2/ walkingcloset | Terraza |  | Contribuciones 1.700.000 cada cuota"
"18","https://casa.mercadolibre.cl/MLC-1616434023-funcionalidad-comodidad-seguridad-y-belleza-_JM#polycard_client=search-nordic&position=20&search_layout=grid&type=item&tracking_id=86e048f4-8629-40d6-b718-8c6a017dfd4a","429390230","241","140","4","2","2","-33.4269148","-70.5420106","(sin comisión!) |  | ¡Una casa diseñada para disfrutar cada rincón! |  | Cada espacio de esta casa fue cuidadosamente pensado por sus dueños para ofrecer funcionalidad, comodidad y belleza en perfecta armonía. Cada detalle refleja dedicación y cariño, creando un hogar acogedor y lleno de vida, y cumpliendo con las reales necesidades de quienes viven en ella. |  | El dormitorio principal es amplio y cuenta con walk-in closet y baño en suite. Además, hay otros tres dormitorios (uno actualmente utilizado como home office) y un segundo baño, sumando en total 4 dormitorios y 2 baños. Dos de los dormitorios incluyen muebles a medida, optimizando su espacio al máximo. |  | Las áreas comunes están diseñadas para compartir y disfrutar: sala de estar/TV, living y comedor, todos conectados de manera fluida. Desde aquí, accedes al patio trasero con un quincho completamente equipado, ideal para reuniones y momentos especiales. |  | La cocina es muy funcional, con gran capacidad de almacenamiento. A un costado, la logia cuenta con lavadero e instalaciones de agua fría y caliente. |  | Para los amantes del sol y el agua, la casa ofrece una piscina temperada de 6x3 metros, estratégicamente ubicada para aprovechar la luz solar durante más horas. Su sistema de calefacción solar mantiene el agua a una temperatura ideal sin ningún incremento en la cuenta de energía. |  | Además, cuenta con bodega y espacio de almacenamiento en el entretecho, así como estacionamiento techado para dos vehículos. |  | Ubicada en una calle tranquila con seguridad privada (costo del servicio compartido entre los vecinos), y cuenta con cámaras de vigilancia monitoreadas las 24 horas. |  | ¡Ubicación inmejorable! A pasos de Jumbo, Easy, farmacias, Decathlon, Casa&ampIdeas y más. También cercana a plazas, parques y clínicas para atención médica. El Mall Plaza Los Dominicos está a solo 5 minutos en auto. |  | Excelentes conexiones viales con múltiples accesos a través de Av. Colón, Av. Bilbao, Av. Presidente Piñera y Av. Padre Hurtado, facilitando la movilidad rápida y cómoda. |  | VENDE SU DUEÑO, no hay que pagar comisión a corredoras de propiedades. |  | FAVOR NO CONTACTAR CORREDORAS DE PROPIEDADES."
"19","https://casa.mercadolibre.cl/MLC-2927470960-casa-metro-los-dominicos-_JM#polycard_client=search-nordic&position=21&search_layout=grid&type=item&tracking_id=86e048f4-8629-40d6-b718-8c6a017dfd4a","468783829","286","165","5","3","3","-33.4085387","-70.5394232","Casa remodelada un 70% (cocina, baños, mansarda, sistema electrico) a pasos del metro Los Dominicos. Cercana a universidades, malls, clínicas, colegios, etc. Contacto directo con dueño. | 4/5 Dormitorios | 3 baños | Dorm servicios con su baño | Posible dormitorio extra o sala estar | Espacio home office | Portón | Loggia con lavadero"
"20","https://casa.mercadolibre.cl/MLC-2908006646-casa-las-condes-vende-su-dueno-_JM#polycard_client=search-nordic&position=22&search_layout=grid&type=item&tracking_id=86e048f4-8629-40d6-b718-8c6a017dfd4a","456965749","250","150","3","2","2","-33.4181647","-70.5513944","Casa independiente de dos pisos, con amplios y luminosos espacios. |  | PRIMER PISO: Ventanas con termopanel. Hall de distribución, living y comedor separados y de gran tamaño. Amplia cocina, con mesita de diario empotrada, salida a logia techada con baño de servicio. Dormitorio buen tamaño, con baño completo. |  | SEGUNDO PISO: Extenso y luminoso dormitorio principal, con terraza y walking closet. Segundo dormitorio, tamaño similar, con gran closet y bow window con vistas a la plaza. Baño doble, con jacuzzi y ducha. |  | EXTERIOR: Antejardín con pasto natural y frondosa vegetación. Estacionamiento para dos autos, con portón eléctrico. Terraza en patio trasero con dos ambientes y pequeño quincho. Jardín y terraza unidos. Riego automático. |  | SERVICIOS: Calefacción centralizada con panel de control, agua potable, caldera, riego automático, timbre con citófono y cámara, portón eléctrico. Factibilidad de conexión para internet, tv cable y teléfono. |  | ¡OPORTUNIDAD! VENDE SU DUEÑO. No llamar corredores."
"21","https://casa.mercadolibre.cl/MLC-2902669938-casa-full-renovada-condominio-valle-del-sol-av-la-florida-_JM#polycard_client=search-nordic&position=23&search_layout=grid&type=item&tracking_id=86e048f4-8629-40d6-b718-8c6a017dfd4a","151665356","137","80","3","2","1","-33.5580126","-70.5553648","Casa Full Renovada, propiedad moderna, funcional y con estilo, cercana a Mall Tobalaba, excelente conectividad, en condominio cerrado, pronto estación de metro, gran plusvalía, lugar tranquilo y seguro. |  | Características principales: |  | •	Renovación completa: Todos los artefactos de cocina, encimera, campana, baño, iluminación y pisos han sido completamente cambiados. ¡Todo está nuevo! | •	Cocina de ensueño: Cocina moderna con muebles a medida, amplios espacios de almacenamiento y artefactos nuevos, lista para crear momentos inolvidables en familia. | •	Baños elegantes y funcionales: Diseñados con materiales de alta calidad, griferías nuevas y acabados de estilo contemporáneo. | •	Espacios exteriores renovados: Patio amplio con césped sintético de bajo mantenimiento y terraza ideal para reuniones o momentos de descanso. | •	Habitaciones luminosas: Amplios dormitorios con ventanas grandes que permiten la entrada de luz natural, brindando calidez y confort. |  | Detalles adicionales: |  | •	Cañerías completamente renovadas | •	Estacionamiento privado y portón seguro | •	Ubicación estratégica, Cerca de colegios, supermercados y transporte público |  | ¡No dejes pasar esta oportunidad de vivir en una casa prácticamente nueva, con un diseño moderno y todo lo que necesitas para empezar una nueva etapa! |  | Contáctanos ahora y agenda tu visita. ¡Tu nuevo hogar te está esperando!"
"22","https://casa.mercadolibre.cl/MLC-1620053257-alto-penalolen-linda-casa-en-condominio-_JM#polycard_client=search-nordic&position=24&search_layout=grid&type=item&tracking_id=86e048f4-8629-40d6-b718-8c6a017dfd4a","295058057","200","115","4","3","2","-33.4794555","-70.5451342","Betapropiedades Vende |  | Casa en condominio con gran seguridad, acceso único controlado con personal 24/7 y cámaras de seguridad. |  | Hermoso jardín central con áreas verdes, sendero, juegos infantiles y estacionamiento de visitas. |  | En la mejor ubicación de Peñalolen, a pasos del Malo Alto Peñalolen, supermercado, centro médico y numero servicios y comercio. |  | A 1 cuadra de servicios comunales como Registro civil, centro deportivo, bomberos, carabineros, Cesfam. |  | Locomoción colectiva a la puerta con conexión a metros y centro de de la ciudad. |  | La casa cuenta con 115 m2 construidos distribuidos en 2 pisos. y 200 metros totales. |  | Primer piso: Hall de entrada, baño de visitas, living comedor, dormitorio principal con baño en suite, cocina amoblada y equipada, logia cerrada. |  | Cuenta con 2 terrazas cerradas con vidrio a la salida del living y del dormitorio principal. |  | Segundo piso: 3 dormitorios con closet, salita de estar y 1 baño completo, closet de ropa blanca y espacio para un escritorio. |  | Lindo patio trasero con una cómoda terraza. |  | Estacionamiento para 2 vehículos |  | calefacción central por radiadores |  | Gasto común: $80.000 mensual |  | Contribuciones: $ trimestral. |  | Contactanos para una visita!!!!!!"
