Comuna,Población 2024,Índice Masculinidad 2024,Grupo_Etario_0_a_14_2024_(%),Grupo_Etario_15_a_29_2024_(%),Grupo_Etario_30_a_44_2024_(%),Grupo_Etario_45_a_64_2024_(%),Grupo_Etario_65_o_mas_2024_(%),IDD 2024,IAM 2024,Pobreza por ingresos 2022 (%),Pobreza multidimensional 2022 (%),Pueblos indígenas 2025 (%),Extranjeros 2025 (%),Carentes servicios básicos 2025 (%),Hogares hacinados 2025 (%),Cantidad de: Atención Remota 2025,Cantidad de: Centro Comunitario de Salud Familiar (CECOSF) 2025,Cantidad de: Centro Comunitario de Salud Mental  (COSAM) 2025,Cantidad de: Centro Corporación para la Nutrición Infantil (CONIN) 2025,Cantidad de: Centro de Apoyo Comunitario para Personas con Demencia 2025,Cantidad de: Centro Diagnóstico Terapéutico y Tratamiento Privado (CDT) 2025,Cantidad de: Centro de Diálisis 2025,Cantidad de: Centro de Especialidad 2025,Cantidad de: Centro de Referencia de Salud (CRS) 2025,Cantidad de: Centro de Regulación Médica de las Urgencias (SAMU) 2025,Cantidad de: Centro de Rehabilitación 2025,Cantidad de: Centro de Salud de Atención Cerrada para Personas Privadas de Libertad 2025,Cantidad de: Centro de Salud Familiar (CESFAM) 2025,Cantidad de: Centro de Salud Mental 2025,Cantidad de: Centro de Salud Privado 2025,Cantidad de: Centro de Salud Público 2025,Cantidad de: Centro de Tratamiento de Adicciones (CTA) 2025,Cantidad de: Clínica 2025,Cantidad de: Clínica Dental 2025,Cantidad de: Clínica Dental Móvil 2025,Cantidad de: Consultorio General Rural (CGR) 2025,Cantidad de: Consultorio General Urbano  (CGU) 2025,Cantidad de: Dirección Servicio de Salud 2025,Cantidad de: Dispositivo Incorporado por Crisis Sanitaria 2025,Cantidad de: Estación Médica Rural (EMR) 2025,Cantidad de: Hospital 2025,Cantidad de: Hospital de Dia Adulto 2025,Cantidad de: Hospital de Día Infanto Adolescente 2025,Cantidad de: Laboratorio Clínico 2025,Cantidad de: Oficina Sanitaria 2025,Cantidad de: Policlínico Funcionarios (Minería) 2025,Cantidad de: Posta de Salud Rural (PSR) 2025,Cantidad de: Programa de Reparación y Atención Integral de Salud (PRAIS) 2025,Cantidad de: Puesto de Atención Médica Especializado (PAME) Incorporado por Crisis Sanitaria 2025,Cantidad de: Sala  Externa de Toma de Muestras (SETM) 2025,Cantidad de: Salud Ambiental 2025,Cantidad de: Servicio de Atención Primaria de Urgencia (SAPU) 2025,Cantidad de: Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR) 2025,Cantidad de: Servicio de Urgencia Rural (SUR) 2025,Cantidad de: Unidad de Atención Primaria Oftalmológica (UAPO) 2025,Cantidad de: Unidad de Procedimientos Móvil 2025,Cantidad de: Unidad de Salud Funcionarios 2025,Cantidad de: Vacunatorio 2025,Fecundidad 2022,Natalidad 2022,Mortalidad General 2022 (c/1.000 hab),Mortalidad Infantil 2022 (c/1.000 nac.vivos),Matrícula Municipal 2024,Matrícula Subvencionada 2024,Matrícula Particular Pagado 2024,Matrícula Corporación Admin Delegada 2024,Matrícula Servicio Local Educación 2024,Matrícula_Educación_Parvularia_2024,Matrícula_Enseñanza_Básica_Niños_2024,Matrícula_Educación_Básica_Adultos_2024,Matrícula_Educación_Especial_2024,Matrícula_Enseñanza_Media_Humanístico-Científica_Jóvenes_2024,Matrícula_Educación_Media_Humanístico-Científica_Adultos_2024,Matrícula_Enseñanza_Media_Técnico_Profesional_y_Artística_Jóvenes_2024,Matrícula_Educación_Media_Técnico_Profesional_y_Artística_Adultos_2024,SIMCE 4to Básico Lectura 2022,SIMCE 4to Básico Matemáticas 2022,Empresas_Micro_2023,Empresas_Pequeña_2023,Empresas_Mediana_2023,Empresas_Grande_2023,Empresas_Sin_Ventas_Sin_Información_2023,Trabajadores_Micro_2023,Trabajadores_Pequeña_2023,Trabajadores_Mediana_2023,Trabajadores_Grande_2023,Trabajadores_Sin_Ventas_Sin_Información_2023,Empresas_Agricultura_Ganadería_2023,Empresas_Minería_2023,Empresas_Industria_Manufacturera_2023,Empresas_Suministro_Electricidad_2023,Empresas_Suministro_Agua_2023,Empresas_Construcción_2023,Empresas_Comercio_2023,Empresas_Transporte_2023,Empresas_Alojamiento_Comidas_2023,Empresas_Información_Comunicaciones_2023,Empresas_Financieras_Seguros_2023,Empresas_Inmobiliarias_2023,Empresas_Profesionales_Científicas_2023,Empresas_Servicios_Administrativos_2023,Empresas_Administración_Pública_2023,Empresas_Enseñanza_2023,Empresas_Salud_2023,Empresas_Artísticas_Entretenimiento_2023,Empresas_Otras_Actividades_2023,Empresas_Hogares_Empleadores_2023,Empresas_Organizaciones_Extraterritoriales_2023,Empresas_Sin_Información_2023,Trabajadores_Agricultura_Ganadería_2023,Trabajadores_Minería_2023,Trabajadores_Industria_Manufacturera_2023,Trabajadores_Suministro_Electricidad_2023,Trabajadores_Suministro_Agua_2023,Trabajadores_Construcción_2023,Trabajadores_Comercio_2023,Trabajadores_Transporte_2023,Trabajadores_Alojamiento_Comidas_2023,Trabajadores_Información_Comunicaciones_2023,Trabajadores_Financieras_Seguros_2023,Trabajadores_Inmobiliarias_2023,Trabajadores_Profesionales_Científicas_2023,Trabajadores_Servicios_Administrativos_2023,Trabajadores_Administración_Pública_2023,Trabajadores_Enseñanza_2023,Trabajadores_Salud_2023,Trabajadores_Artísticas_Entretenimiento_2023,Trabajadores_Otras_Actividades_2023,Trabajadores_Hogares_Empleadores_2023,Trabajadores_Organizaciones_Extraterritoriales_2023,Trabajadores_Sin_Información_2023,Disponibilidad_Presupuestaria_por_Habitante_2023_(M$),Delitos Mayor Connotación Social 2023 (c/100.000 hab),Violencia Intrafamiliar 2023 (c/100.000 hab)
Providencia,143974,87.8,11.9,18.6,31.4,22.1,16,38.8,134.9,1.3,4.3,2,9.9,4.4,2.4,0,2,1,1,0,0,0,1,0,0,0,0,3,0,34,0,0,16,7,0,0,0,1,0,0,7,0,0,13,0,0,0,1,0,4,0,1,0,0,0,0,1,9,0.8,8.8,8.1,8.5,9984,4734,15204,0,0,3110,15434,1,222,10535,561,341,0,307,294,38884,15684,2979,1477,15811,32056,113966,125006,555514,20254,993,224,2293,191,158,5591,17166,3125,2316,4848,5220,4016,10959,4671,30,1505,5375,1010,4869,1,11,263,22653,10384,16860,1812,6632,126127,60344,36549,33500,43928,32180,8063,51458,252910,17011,34119,56127,3560,31852,0,85,642,1078,2813.3,267.7
Pudahuel,227820,92.8,17.8,22,21.8,26.2,12.2,42.9,68.6,4.4,16.9,7.1,5.8,7.2,8.8,0,7,2,0,0,0,0,0,1,0,0,0,5,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,1,0,0,0,0,1,8.2,5.2,3.8,0,21804,1777,0,8848,3913,20052,117,1883,4655,681,1511,97,277,265,7343,1932,374,366,2167,3093,11777,11193,92264,6867,104,20,1054,14,67,979,4424,1987,658,216,266,253,489,612,6,115,159,89,645,0,0,25,635,3449,21951,19,656,5457,27140,28732,8513,953,436,694,3869,13435,4859,2063,1446,80,804,0,0,3,440,2885.7,664.0
Puente Alto,568086,93.1,18.4,22.2,22.2,25.5,11.7,43,63.9,5.0,18.9,6.5,3.6,3.7,7.2,0,0,3,0,0,0,0,0,2,0,0,0,10,0,8,0,0,3,5,0,0,0,1,1,0,3,0,0,1,0,0,0,1,0,1,0,5,1,0,0,0,1,1,1,8,4.9,4.9,14998,84429,4221,0,0,9642,56421,460,5848,22687,2983,6409,91,279,268,19458,3335,253,34,5388,9194,21929,17406,8655,12421,130,29,2513,35,95,3000,10574,3674,1304,561,723,291,1218,1131,5,393,534,262,1922,1,2,71,1038,155,5394,423,69,10672,7008,3589,2176,658,75,249,1280,7790,1097,13782,11608,192,2299,2,0,49,192,2173.4,535.9
Quilicura,205624,94,19.1,23.9,22.2,26.1,8.7,38.5,45.9,5.2,17.0,6,13,3.8,8.7,0,3,1,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,8.3,3.2,6.7,6707,33726,2732,0,0,4770,24276,162,1801,10444,510,1491,0,283,269,6996,2068,569,497,2274,3763,12645,16266,188607,4299,79,12,1333,18,77,903,4423,1866,549,190,304,345,553,672,3,137,149,101,660,0,1,29,1563,2415,34752,8067,9052,16541,107059,14751,6790,861,367,600,2477,12967,580,4350,1522,51,811,0,0,4,256,2056.3,440.6
Quinta Normal,129351,95.3,17.1,21.8,24.5,23.3,13.3,43.5,77.7,2.1,19.7,3.6,22.2,8.9,8.6,0,3,1,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1.3,10.4,7,4.8,9201,16535,0,1622,0,2796,15019,65,2167,4945,204,2453,0,277,259,5031,1747,274,95,1624,2412,13204,9031,14736,2969,35,10,1397,9,47,631,3201,1041,437,139,119,227,367,385,1,95,79,54,472,0,1,24,110,75,9830,152,265,4087,8890,4861,3096,869,313,176,2015,1767,686,1947,211,65,2864,0,0,73,311,3561.5,686.8
Recoleta,154615,96.7,16.5,21.3,23.1,24.5,14.6,45.1,88.6,5.1,21.2,4.8,20.6,10.5,10.3,0,0,1,0,0,0,0,0,0,0,0,0,5,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1.1,8.4,6.5,4.3,9406,19041,1428,3195,0,2922,17972,133,1744,7303,957,2313,0,270,255,7578,3065,618,228,2350,3730,18510,14071,39076,2031,82,11,1485,10,24,725,5592,1052,886,188,980,698,600,412,2,112,188,115,658,0,0,19,304,6,7206,55,82,6056,12090,4356,2227,2483,468,1222,1175,22358,3410,2558,6495,916,3923,0,0,28,219,3439.6,377.9
Renca,143622,95,19.3,22.2,21.6,24.1,12.8,47.3,66.4,5.3,19.5,9,6.9,7.8,9.3,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1.2,9.4,5.8,7.2,6869,17548,0,798,0,2492,14355,80,1506,4457,413,2047,0,271,260,4168,1197,281,179,1247,1743,10430,8641,40343,1580,32,4,792,5,39,637,2733,1135,331,81,97,109,215,332,1,58,76,47,325,0,0,23,447,1475,15584,95,228,6000,12328,7159,703,616,132,85,1830,13029,566,1734,146,41,457,0,0,82,446,2593.5,441.4
San Bernardo,306371,94.3,19.8,22.6,22.6,23.6,11.3,45.3,57,6.0,18.7,7.3,5.4,6.4,9.0,0,4,1,0,0,0,0,1,1,0,0,0,7,0,8,0,0,2,1,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,5,1,0,0,0,0,1,1.3,10.4,6.1,8.2,15999,38599,3215,1148,0,5529,32653,213,3977,12821,1530,2646,114,273,258,10112,2715,453,277,3268,6077,19975,19682,71432,2637,296,39,2017,27,72,1570,5914,2473,763,252,262,399,605,660,4,226,241,131,843,0,0,31,4683,254,41881,57,6984,9954,16366,13985,1999,498,88,578,1320,4946,594,10211,4028,118,1233,0,0,26,349,2747.8,573.1
San Joaquín,95602,92.7,15.5,21.3,22.4,24.3,16.5,47.2,106.3,4.8,19.6,3.9,12.1,9.4,8.4,0,6,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.2,8.7,7.6,4.4,0,6561,0,1155,4094,1283,6507,201,981,1499,780,690,0,266,250,3476,1197,238,89,1060,1990,6858,6688,12474,690,34,3,883,12,30,426,2001,610,309,85,432,233,276,222,1,70,69,52,296,0,0,16,261,58,7306,81,878,3549,5083,1482,462,320,77,146,880,1255,493,4691,268,65,1340,0,0,5,461,2979.1,588.6
San José de Maipo,17441,98.9,16.8,19.8,21.1,26.5,15.8,48.5,94.2,4.7,24.4,4.4,3.3,33.3,7.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1.1,7.8,7.9,13.4,1631,962,0,0,0,311,1576,0,0,544,65,88,0,271,257,862,196,20,4,294,401,1184,486,200,1596,43,17,101,2,20,73,367,92,281,23,16,53,68,68,1,24,28,33,66,0,0,0,77,48,135,0,47,226,404,95,836,12,6,41,101,80,144,197,1293,28,97,0,0,0,405,2766.5,671.1
San Miguel,150829,89.5,15.6,20.7,31.4,20.8,11.5,37.2,73.5,2.2,12.9,2.9,25,8.3,5.5,0,1,0,0,0,0,0,1,0,0,0,0,2,0,8,0,0,4,2,0,0,0,1,0,0,3,0,0,2,0,0,0,1,0,2,0,0,1,0,0,0,1,0,1.4,12.4,8.1,5.8,3981,17630,2615,1919,0,2262,12962,156,1360,6467,746,2444,0,289,273,6107,1953,291,93,2406,5707,15678,18825,20129,4301,66,11,1195,19,31,750,3259,961,581,294,260,396,802,538,3,197,498,123,813,0,0,53,381,17,6426,37,120,8987,8686,2571,1786,2326,121,334,3003,14312,492,3335,9001,102,2387,0,0,216,293,3142.5,401.6
San Pedro,11108,105.2,19.2,19.6,20.3,23.9,17,56.8,88.6,14.1,31.9,5,6.7,50.8,9.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,1.7,11.4,6,7.1,1835,59,0,0,0,250,1260,0,59,347,0,36,0,262,247,672,145,23,7,225,224,809,553,367,658,446,4,40,1,10,74,277,110,46,4,2,3,11,18,1,0,7,2,12,0,0,4,651,1,169,0,16,379,403,291,1,0,0,0,0,32,648,0,2,0,18,0,0,0,348,1626.3,645.7
San Ramón,76002,97,16.4,21.4,19.4,26,16.8,49.7,101.9,6.9,19.2,8.1,6.4,7.1,11.0,0,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1.4,9.5,9.2,3.7,3040,11124,0,479,0,1351,8428,151,717,2839,538,763,55,281,268,2424,483,45,7,638,1008,2677,2885,352,3356,9,0,533,5,19,312,1597,386,179,31,13,25,97,98,2,38,34,32,181,0,0,6,113,0,1323,8,26,988,1291,320,79,47,13,12,249,167,1866,756,2960,13,47,0,0,0,241,3209.3,715.7
Santiago,438856,103.5,12.7,24.6,34.5,20.2,8.1,26.2,63.6,3.9,16.5,3.1,41.4,12.7,6.6,2,0,1,0,0,0,1,0,0,1,0,0,6,0,33,0,0,7,7,0,0,0,2,0,0,7,0,0,13,0,0,0,2,0,3,0,2,0,0,0,0,2,3,0.8,9.1,3.9,5.4,27177,37942,8706,4255,0,6342,36168,663,1284,24435,3657,5869,0,283,266,44557,15946,2494,977,18468,85309,174670,102375,420435,212719,933,182,5373,149,195,6926,28073,4582,3837,3474,3182,3222,7637,4429,178,1235,2103,1007,5478,1,4,242,26993,18863,29486,3627,3909,51186,116487,21250,20067,44360,72312,3885,26374,111416,246964,133596,23903,6057,34156,0,2,615,377,4035.5,355.8
Talagante,76429,96.3,18.9,21,22.1,25,12.9,46.8,68.2,6.3,17.0,3.7,4.5,12.2,8.5,0,1,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,1,1.2,8.8,6.5,1.4,7324,11891,3177,0,0,1809,10959,115,1244,5434,641,2416,0,284,274,3488,880,75,27,1122,3166,6618,2624,4578,2048,292,7,486,12,43,411,1973,659,300,71,83,149,255,213,2,104,177,59,279,0,0,17,2488,38,2232,28,42,1169,3328,1026,463,70,32,93,271,1730,668,2041,1431,53,1797,0,0,34,217,2085.0,653.7
Tiltil,19742,101.4,19.8,20.6,22.3,23.7,13.7,50.3,69.4,6.1,28.9,3,4.2,15.0,8.9,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,1,0,0,1.2,9.3,6.4,9.8,1968,2134,0,0,0,371,2292,54,224,804,208,196,0,264,241,924,255,40,15,278,530,1727,714,2386,756,93,18,126,5,23,78,515,208,129,12,35,31,50,67,2,22,21,13,60,0,0,4,1238,131,1119,26,121,186,975,307,465,4,8,7,38,210,133,825,235,5,80,0,0,0,448,2170.6,427.0
Vitacura,86420,85.8,17.4,18.7,20.7,24,19.2,57.8,110.7,0.9,2.4,0.9,6.6,2.3,1.8,0,0,1,0,0,0,0,0,0,0,0,0,1,0,7,0,0,10,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,1,1.5,10.9,6.7,3.8,2735,516,15240,0,0,2148,11019,0,0,5308,70,0,0,311,302,9034,5109,1132,715,3667,4865,21328,25642,163979,5191,488,68,529,99,23,648,3368,322,533,497,3685,2297,2775,832,2,256,1461,224,1473,0,3,74,29008,8454,14488,228,57,25356,42711,2277,23574,6837,4346,3705,10319,14842,1328,12723,11616,2092,6468,0,177,399,1407,814.0,192.7
